Season,Team,Budget
2009-2010,Real Madrid,451.7
2009-2010,Barcelona,515.4
2009-2010,Valencia,240.0
2009-2010,Sevilla,218.3
2009-2010,Ath Madrid,210.8
2009-2010,Villarreal,163.7
2009-2010,La Coruna,75.9
2009-2010,Ath Bilbao,100.8
2009-2010,Espanol,71.0
2009-2010,Zaragoza,87.25
2009-2010,Racing,66.5
2009-2010,Getafe,77.3
2009-2010,Mallorca,65.1
2009-2010,Osasuna,60.0
2009-2010,Almeria,63.7
2009-2010,Malaga,58.6
2009-2010,Valladolid,50.5
2009-2010,Sp Gijon,55.2
2009-2010,Tenerife,34.0
2009-2010,Xerez,32.5
2010-2011,Barcelona,604.7
2010-2011,Real Madrid,519.0
2010-2011,Ath Madrid,187.0
2010-2011,Valencia,176.0
2010-2011,Sevilla,175.6
2010-2011,Villarreal,170.6
2010-2011,Ath Bilbao,112.0
2010-2011,Espanol,78.4
2010-2011,Almeria,73.6
2010-2011,Malaga,71.05
2010-2011,Sociedad,66.7
2010-2011,Getafe,66.4
2010-2011,La Coruna,63.7
2010-2011,Racing,59.3
2010-2011,Osasuna,57.9
2010-2011,Zaragoza,57.0
2010-2011,Mallorca,53.7
2010-2011,Sp Gijon,53.4
2010-2011,Hercules,51.7
2010-2011,Levante,37.6
2011-2012,Barcelona,618.2
2011-2012,Real Madrid,539.2
2011-2012,Ath Madrid,210.0
2011-2012,Valencia,181.0
2011-2012,Ath Bilbao,144.2
2011-2012,Villarreal,137.0
2011-2012,Sevilla,133.0
2011-2012,Malaga,121.3
2011-2012,Espanol,81.2
2011-2012,Sociedad,74.7
2011-2012,Getafe,70.95
2011-2012,Mallorca,62.2
2011-2012,Zaragoza,61.0
2011-2012,Granada,60.6
2011-2012,Sp Gijon,53.4
2011-2012,Betis,52.7
2011-2012,Vallecano,47.3
2011-2012,Osasuna,44.4
2011-2012,Racing,42.6
2011-2012,Levante,40.25
2012-2013,Barcelona,586.6
2012-2013,Real Madrid,582.4
2012-2013,Ath Madrid,267.0
2012-2013,Valencia,172.9
2012-2013,Sevilla,144.8
2012-2013,Malaga,122.9
2012-2013,Ath Bilbao,119.85
2012-2013,Sociedad,113.0
2012-2013,Granada,72.8
2012-2013,Getafe,68.3
2012-2013,Betis,66.2
2012-2013,Espanol,64.1
2012-2013,Vallecano,49.75
2012-2013,Celta,49.1
2012-2013,Mallorca,47.1
2012-2013,Zaragoza,46.8
2012-2013,Osasuna,46.4
2012-2013,La Coruna,45.6
2012-2013,Levante,41.1
2012-2013,Valladolid,38.8
2013-2014,Real Madrid,636.8
2013-2014,Barcelona,592.2
2013-2014,Ath Madrid,308.8
2013-2014,Valencia,178.8
2013-2014,Sevilla,141.15
2013-2014,Sociedad,136.7
2013-2014,Ath Bilbao,130.7
2013-2014,Villarreal,77.3
2013-2014,Malaga,62.5
2013-2014,Betis,58.6
2013-2014,Granada,57.48
2013-2014,Getafe,55.9
2013-2014,Espanol,51.3
2013-2014,Celta,49.9
2013-2014,Vallecano,46.1
2013-2014,Elche,44.6
2013-2014,Levante,42.4
2013-2014,Osasuna,42.3
2013-2014,Valladolid,41.2
2013-2014,Almeria,36.45
2014-2015,Real Madrid,788.8
2014-2015,Barcelona,603.8
2014-2015,Ath Madrid,356.0
2014-2015,Valencia,230.0
2014-2015,Sevilla,166.75
2014-2015,Ath Bilbao,112.1
2014-2015,Sociedad,96.8
2014-2015,Espanol,75.7
2014-2015,Villarreal,132.7
2014-2015,Getafe,50.2
2014-2015,Malaga ,82.8
2014-2015,Celta,60.4
2014-2015,Granada,67.55
2014-2015,Levante,43.45
2014-2015,Almeria,38.3
2014-2015,Cordoba,50.9
2014-2015,La Coruna,53.9
2014-2015,Eibar,29.4
2014-2015,Vallecano,51.7
2014-2015,Elche,38.6
2015-2016,Real Madrid,726.0
2015-2016,Barcelona,714.3
2015-2016,Ath Madrid,418.5
2015-2016,Valencia,254.0
2015-2016,Sevilla,230.3
2015-2016,Villarreal,140.6
2015-2016,Sociedad,119.4
2015-2016,Ath Bilbao,148.0
2015-2016,Betis,56.4
2015-2016,Espanol,62.2
2015-2016,Malaga,77.95
2015-2016,Levante,53.1
2015-2016,Granada,71.5
2015-2016,Celta,91.1
2015-2016,Vallecano,49.6
2015-2016,Getafe,49.1
2015-2016,Eibar,56.6
2015-2016,Las Palmas,32.2
2015-2016,La Coruna,61.75
2015-2016,Sp Gijon,53.2
2016-2017,Real Madrid,802.9
2016-2017,Barcelona,765.3
2016-2017,Ath Madrid,515.8
2016-2017,Sevilla,270.1
2016-2017,Villarreal,190.7
2016-2017,Sociedad,156.45
2016-2017,Ath Bilbao,172.6
2016-2017,Espanol,80.8
2016-2017,Alaves,85.4
2016-2017,Eibar,67.95
2016-2017,Malaga ,84.3
2016-2017,Valencia,257.5
2016-2017,Celta,122.4
2016-2017,Las Palmas,84.3
2016-2017,Betis,84.2
2016-2017,La Coruna,94.0
2016-2017,Leganes,53.15
2016-2017,Sp Gijon,46.75
2016-2017,Osasuna,42.9
2016-2017,Granada,66.45
2017-2018,Barcelona,1090.0
2017-2018,Real Madrid,955.35
2017-2018,Ath Madrid,711.15
2017-2018,Valencia,398.05
2017-2018,Sevilla,253.2
2017-2018,Ath Bilbao,249.4
2017-2018,Sociedad,232.95
2017-2018,Villarreal,220.0
2017-2018,Celta,173.05
2017-2018,Betis,132.25
2017-2018,Espanol,97.8
2017-2018,Las Palmas,91.25
2017-2018,Girona,81.75
2017-2018,Alaves,74.8
2017-2018,La Coruna,66.45
2017-2018,Getafe,65.6
2017-2018,Levante,61.85
2017-2018,Eibar,60.05
2017-2018,Leganes,58.55
2017-2018,Malaga,55.2
2018-2019,Barcelona,1160.0
2018-2019,Real Madrid,896.1
2018-2019,Ath Madrid,969.7
2018-2019,Valencia,499.65
2018-2019,Sevilla,306.3
2018-2019,Villarreal,230.65
2018-2019,Betis,290.75
2018-2019,Ath Bilbao,234.25
2018-2019,Sociedad,300.95
2018-2019,Espanol,174.7
2018-2019,Leganes,112.45
2018-2019,Levante,107.85
2018-2019,Celta,234.1
2018-2019,Eibar,93.9
2018-2019,Getafe,132.2
2018-2019,Alaves,110.8
2018-2019,Girona,97.25
2018-2019,Vallecano,86.7
2018-2019,Huesca,61.4
2018-2019,Valladolid,83.0
